age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
29,7000,,0,0,0,30,,无,,无,2017/8/12,,64624673,,无,女,,,,,,,100%,2014/9/19,1,,,,6 ,,,2017-08-13,,ying524479265,C,20
46,29485,身份证认证|手机认证,4329.833333333333,330.0,0.22333333333333336,0,4次流标，1次撤标，2次失败,无,25979.00,无,2017/8/1,2015/12/1,59032127,18332.9,无,男,12000.00,18332.90,0.0,38,0,0,12%,2015/6/17,0,6,38,10528.06,24 ,0.00,18332.90,2017-08-13,,rong8510708,C,20
26,3000,身份证认证|手机认证,3866.7,279.0,0.25,0,0次流标，1次撤标，0次失败,无,46167.00,无,14天22时33分,2016/2/18,64862583,13477.56,无,男,12000.00,13477.56,2.0,34,2,0,0%,2016/1/27,0.5,12,36,6738.780000000001,12 ,0.00,13477.56,2017-08-13,,pdu1388033816,C,20
36,7000,学历认证|身份证认证|手机认证,2675.2,270.0,0.20400000000000001,7,0次流标，1次撤标，0次失败,中央广播电视大学,13376.00,专科,14天11时41分,2016/7/5,64810305,5295.52,成人,女,5000.00,7210.88,1.0,20,3,0,3%,2016/7/3,0.5,5,23,4084.7799999999997,6 ,0.00,5295.52,2017-08-13,,pdu0334405354,C,20
29,10565,,0,0,0,127,,无,,无,2017/8/12,,64631363,,无,男,,,,,,,100%,2015/10/7,1,,,,6 ,,,2017-08-13,,pdu48868545,C,20
35,2058,身份证认证|手机认证,4221.5,300.0,0.18416666666666667,15,0次流标，0次撤标，0次失败,无,25329.00,无,14天22时15分,2016/7/2,64861762,13093.6,无,男,10000.00,14450.88,0.0,28,0,0,40%,2016/7/2,0.5,6,28,7647.24,12 ,0.00,13093.60,2017-08-13,,pdu6475226408,D,22
29,2000,身份证认证|手机认证,0,0,0,0,0次流标，1次撤标，0次失败,无,0.00,无,2017/8/6,,62890718,,无,男,0.00,0.00,,0,0,0,18%,2017/7/25,0,0,0,,3 ,0.00,0.00,2017-08-13,,pdu5863281211,AA,10
31,4664,,0,0,0,21,,无,,无,2017/8/12,,64590675,,无,男,,,,,,,100%,2015/10/24,1,,,,12 ,,,2017-08-13,,pdu02458255,C,20
23,2384,身份证认证|手机认证,3571.4285714285716,102.85714285714286,0.23000000000000004,0,0次流标，1次撤标，0次失败,无,25000.00,无,2017/7/15,2017/3/4,58919765,10027.33,无,男,6809.00,10282.58,4.0,6,8,0,10%,2015/3/13,0,7,14,9195.289999999999,12 ,0.00,10027.33,2017-08-13,,pdu34314036,E,22
19,5000,身份证认证|手机认证,1300.0,90.0,0.1,0,0次流标，0次撤标，0次失败,无,1300.00,无,14天10时08分,2017/5/10,64795725,0.0,无,女,1300.00,1490.70,0.0,3,0,0,0%,2017/5/10,0.5,1,3,,6 ,0.00,0.00,2017-08-13,,pdu7860740512,C,20
