age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
25,6838,,0,0,0,19,,无,,无,2017/7/14,,58819221,,无,男,,,,,,,100%,2015/7/5,1,,,,12 ,,,2017-07-15,,pdu06263715,C,20
48,2124,,0,0,0,13,,无,,无,2017/7/14,,58776300,,无,男,,,,,,,100%,2014/12/3,1,,,,6 ,,,2017-07-15,,qapwd123,C,20
22,3000,身份证认证|手机认证,930.0,306.0,0.20999999999999996,11,0次流标，0次撤标，0次失败,无,9900.00,无,19天03时39分,2017/4/22,58877655,4964.36,无,女,1500.00,7272.13,0.0,55,0,0,50%,2017/4/22,0.5,11,55,2107.5,12 ,0.00,4964.36,2017-07-15,,pdu3046505261,C,20
34,2405,,0,0,0,29,,无,,无,2017/7/14,,58831581,,无,男,,,,,,,100%,2016/1/27,1,,,,6 ,,,2017-07-15,,pdu6223848301,D,22
31,743,,0,0,0,1,,无,,无,2017/7/14,,58804231,,无,女,,,,,,,100%,2016/8/28,1,,,,6 ,,,2017-07-15,,pdu6453461003,C,20
26,955,,0,0,0,2,,无,,无,2017/7/14,,58843980,,无,男,,,,,,,100%,2016/6/12,1,,,,12 ,,,2017-07-15,,pdu8411188183,D,22
31,16000,学历认证|身份证认证|手机认证,1600.0,201.0,0.21475,69,1次流标，0次撤标，0次失败,兰州职业技术学院,3200.00,专科(高职),14天20时41分,2016/8/3,58986342,,普通,男,2200.00,3599.68,-48.0,14,0,0,32%,2015/10/30,0.5,2,14,,12 ,0.00,0.00,2017-07-15,,pdu67352214,C,20
23,4647,,0,0,0,25,,无,,无,2017/7/14,,58578116,,无,男,,,,,,,100%,2016/9/8,1,,,,12 ,,,2017-07-15,,pdu5884258850,D,22
24,2057,身份证认证|手机认证,1863.1666666666667,180.0,0.19166666666666668,3,0次流标，0次撤标，0次失败,无,11179.00,无,19天18时35分,2017/1/2,58962019,5870.7,无,男,3643.00,8094.71,0.0,18,0,0,52%,2016/10/30,0.5,6,18,5870.7,6 ,0.00,5870.70,2017-07-15,,pdu1877443526,C,20
23,849,身份证认证|手机认证,2682.2,360.0,0.188,0,1次流标，0次撤标，0次失败,无,13411.00,无,19天21时49分,2016/11/28,59000142,10030.5,无,男,6500.00,10971.83,4.0,13,4,0,0%,2016/11/10,0.5,5,17,6446.320000000001,12 ,0.00,10030.50,2017-07-15,,pdu3422508601,C,20
29,1200,身份证认证|手机认证,1782.25,360.0,0.22,2,0次流标，0次撤标，0次失败,无,7129.00,无,19天22时43分,2016/11/25,59010906,6461.99,无,男,3200.00,6744.64,-1.0,14,0,0,6%,2016/11/25,0.5,4,14,3879.1000000000004,12 ,0.00,6461.99,2017-07-15,,pdu0720005672,C,20
31,2871,,0,0,0,28,,无,,无,2017/7/14,,58834310,,无,男,,,,,,,100%,2016/8/10,1,,,,6 ,,,2017-07-15,,pdu2383158467,C,20
27,2000,身份证认证|手机认证,2550.0,360.0,0.16,0,0次流标，0次撤标，0次失败,无,5100.00,无,19天21时32分,2016/12/23,58996677,4687.21,无,男,4600.00,5113.32,1.0,12,1,0,0%,2016/12/22,0.5,2,13,2556.6600000000003,12 ,0.00,4687.21,2017-07-15,,pdu8717202757,C,20
29,7000,,0,0,0,45,,无,,无,2017/7/14,,58612628,,无,男,,,,,,,100%,2017/5/9,1,,,,6 ,,,2017-07-15,,pdu0531718057,C,20
